position,name,type,varlab
1,country,str24,Country name
2,year,float,Year of source survey (first year if survey straddles two years)
3,stype,str9,Data source survey type
4,ccode,str15,Country/year/dataset code
5,datasrc,str12,Name of data source
6,cname,str31,Country and year(s) of survey
7,aAll_1,float,Attain grade 1:Ages 15-19:All
8,aUrban_1,float,Attain grade 1:Ages 15-19:Urban
9,aRural_1,float,Attain grade 1:Ages 15-19:Rural
10,aMale_1,float,Attain grade 1:Ages 15-19:Male
11,aFemale_1,float,Attain grade 1:Ages 15-19:Female
12,aMalUrb_1,float,Attain grade 1:Ages 15-19:Male Urban
13,aMalRur_1,float,Attain grade 1:Ages 15-19:Male Rural
14,aFemUrb_1,float,Attain grade 1:Ages 15-19:Female Urban
15,aFemRur_1,float,Attain grade 1:Ages 15-19:Female Rural
16,aQuint1_1,float,Attain grade 1:Ages 15-19:Poorest quintile
17,aQuint2_1,float,Attain grade 1:Ages 15-19:Quintile 2
18,aQuint3_1,float,Attain grade 1:Ages 15-19:Quintile 3
19,aQuint4_1,float,Attain grade 1:Ages 15-19:Quintile 4
20,aQuint5_1,float,Attain grade 1:Ages 15-19:Richest quintile
21,aQuint1M_1,float,Attain grade 1:Ages 15-19:Poorest quintile Male
22,aQuint2M_1,float,Attain grade 1:Ages 15-19:Quintile 2 Male
23,aQuint3M_1,float,Attain grade 1:Ages 15-19:Quintile 3 Male
24,aQuint4M_1,float,Attain grade 1:Ages 15-19:Quintile 4 Male
25,aQuint5M_1,float,Attain grade 1:Ages 15-19:Richest quintile Male
26,aQuint1F_1,float,Attain grade 1:Ages 15-19:Poorest quintile Female
27,aQuint2F_1,float,Attain grade 1:Ages 15-19:Quintile 2 Female
28,aQuint3F_1,float,Attain grade 1:Ages 15-19:Quintile 3 Female
29,aQuint4F_1,float,Attain grade 1:Ages 15-19:Quintile 4 Female
30,aQuint5F_1,float,Attain grade 1:Ages 15-19:Richest quintile Female
31,aQuint12_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2
32,aQuint34_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4
33,aQuint12M_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2 Male
34,aQuint34M_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4 Male
35,aQuint12F_1,float,Attain grade 1:Ages 15-19:Quintiles 1&2 Female
36,aQuint34F_1,float,Attain grade 1:Ages 15-19:Quintiles 3&4 Female
37,aQuint1x_1,float,Attain grade 1:Ages 15-19:Poorest quintile
38,aQuint2x_1,float,Attain grade 1:Ages 15-19:Quintile 2
39,aQuint3x_1,float,Attain grade 1:Ages 15-19:Quintile 3
40,aQuint4x_1,float,Attain grade 1:Ages 15-19:Quintile 4
41,aQuint5x_1,float,Attain grade 1:Ages 15-19:Richest quintile
42,aQuint1Mx_1,float,Attain grade 1:Ages 15-19:Poorest quintile Male
43,aQuint2Mx_1,float,Attain grade 1:Ages 15-19:Quintile 2 Male
44,aQuint3Mx_1,float,Attain grade 1:Ages 15-19:Quintile 3 Male
45,aQuint4Mx_1,float,Attain grade 1:Ages 15-19:Quintile 4 Male
46,aQuint5Mx_1,float,Attain grade 1:Ages 15-19:Richest quintile Male
47,aQuint1Fx_1,float,Attain grade 1:Ages 15-19:Poorest quintile Female
48,aQuint2Fx_1,float,Attain grade 1:Ages 15-19:Quintile 2 Female
