"team.id" "team.name" "team.logo" "league.id" "league.name" "league.country" "league.logo" "league.flag" "league.season" "games.appearences" "games.lineups" "games.minutes" "games.number" "games.position" "games.rating" "games.captain" "substitutes.in" "substitutes.out" "substitutes.bench" "shots.total" "shots.on" "goals.total" "goals.conceded" "goals.assists" "goals.saves" "passes.total" "passes.key" "passes.accuracy" "tackles.total" "tackles.blocks" "tackles.interceptions" "duels.total" "duels.won" "dribbles.attempts" "dribbles.success" "dribbles.past" "fouls.drawn" "fouls.committed" "cards.yellow" "cards.yellowred" "cards.red" "penalty.won" "penalty.commited" "penalty.scored" "penalty.missed" "penalty.saved" "player.id" "player.name" "player.firstname" "player.lastname" "player.age" "player.nationality" "player.height" "player.weight" "player.injured" "player.photo" "player.birth.date" "player.birth.place" "player.birth.country" "id"
"1" 47 "Tottenham" "https://media.api-sports.io/football/teams/47.png" 39 "Premier League" "England" "https://media-2.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 35 35 3021 NA "Attacker" "7.505714" FALSE 0 15 0 69 49 23 0 7 NA 1015 73 25 15 6 13 270 118 92 51 NA 36 14 2 0 0 NA NA 0 0 NA 186 "Son Heung-Min" "Heung-Min" "Son" 31 "Korea Republic" "184 cm" "77 kg" FALSE "https://media-1.api-sports.io/football/players/186.png" "1992-07-08" "Chuncheon" "Korea Republic" 1
"2" 40 "Liverpool" "https://media-2.api-sports.io/football/teams/40.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 35 30 2762 NA "Attacker" "7.391428" FALSE 5 5 5 101 60 23 0 13 NA 1079 64 24 17 1 6 309 100 124 53 NA 23 12 1 0 0 NA NA 5 1 NA 306 "Mohamed Salah" "Mohamed" "Salah Hamed Mahrous Ghaly" 31 "Egypt" "175 cm" "71 kg" FALSE "https://media.api-sports.io/football/players/306.png" "1992-06-15" "Muḥāfaẓat al Gharbiyya" "Egypt" 2
"3" 33 "Manchester United" "https://media-1.api-sports.io/football/teams/33.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 30 27 2459 NA "Attacker" "7.260000" FALSE 3 6 3 80 43 18 0 3 NA 879 26 24 8 NA 2 217 88 32 20 NA 18 16 8 0 0 NA NA 3 0 NA 874 "Cristiano Ronaldo" "Cristiano Ronaldo" "dos Santos Aveiro" 38 "Portugal" "187 cm" "83 kg" FALSE "https://media-2.api-sports.io/football/players/874.png" "1985-02-05" "Funchal" "Portugal" 3
"4" 47 "Tottenham" "https://media-2.api-sports.io/football/teams/47.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 37 36 3232 NA "Attacker" "7.378378" FALSE 1 1 1 97 55 17 0 9 NA 874 53 16 15 8 3 437 198 100 54 NA 54 42 5 0 0 NA NA 4 0 NA 184 "H. Kane" "Harry Edward" "Kane" 30 "England" "188 cm" "86 kg" FALSE "https://media.api-sports.io/football/players/184.png" "1993-07-28" "London" "England" 4
"5" 40 "Liverpool" "https://media-2.api-sports.io/football/teams/40.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media.api-sports.io/flags/gb.svg" 2021 34 32 2825 NA "Attacker" "7.202941" FALSE 2 7 2 66 39 16 0 2 NA 1036 43 23 33 1 8 361 160 77 47 NA 50 50 5 0 0 NA NA 0 0 NA 304 "S. Mané" "Sadio" "Mané" 31 "Senegal" "175 cm" "69 kg" FALSE "https://media-1.api-sports.io/football/players/304.png" "1992-04-10" "Sedhiou" "Senegal" 5
"6" 50 "Manchester City" "https://media-1.api-sports.io/football/teams/50.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media.api-sports.io/flags/gb.svg" 2021 30 25 2205 NA "Midfielder" "7.780000" FALSE 5 9 8 56 31 15 0 8 NA 1358 87 37 32 2 6 209 101 55 31 NA 27 21 2 0 0 NA NA 0 0 NA 629 "K. De Bruyne" "Kevin" "De Bruyne" 32 "Belgium" "181 cm" "68 kg" FALSE "https://media.api-sports.io/football/players/629.png" "1991-06-28" "Drongen" "Belgium" 6
"7" 40 "Liverpool" "https://media-2.api-sports.io/football/teams/40.png" 39 "Premier League" "England" "https://media-2.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 35 27 2373 NA "Attacker" "7.028571" FALSE 8 17 9 71 33 15 0 4 NA 744 41 15 39 2 6 384 143 69 27 NA 40 41 3 0 0 NA NA 0 0 NA 2678 "Diogo Jota" "Diogo José" "Teixeira da Silva" 27 "Portugal" "178 cm" "68 kg" FALSE "https://media-1.api-sports.io/football/players/2678.png" "1996-12-04" "Massarelos" "Portugal" 7
"8" 46 "Leicester" "https://media-2.api-sports.io/football/teams/46.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 25 20 1806 NA "Attacker" "7.104000" FALSE 5 5 7 47 26 15 0 2 NA 251 18 7 6 NA 1 141 51 22 9 NA 12 13 2 0 0 NA NA 0 0 NA 18788 "J. Vardy" "Jamie Richard" "Vardy" 36 "England" "179 cm" "74 kg" FALSE "https://media.api-sports.io/football/players/18788.png" "1987-01-11" "Sheffield" "England" 8
"9" 52 "Crystal Palace" "https://media-1.api-sports.io/football/teams/52.png" 39 "Premier League" "England" "https://media.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 33 31 2761 NA "Attacker" "6.960606" FALSE 2 2 2 51 32 14 0 1 NA 909 47 22 40 NA 5 506 228 152 75 NA 101 37 5 1 0 NA NA 5 2 NA 3247 "W. Zaha" "Dazet Wilfried" "Armel Zaha" 31 "Côte d'Ivoire" "180 cm" "66 kg" FALSE "https://media-1.api-sports.io/football/players/3247.png" "1992-11-10" "Abidjan" "Côte d'Ivoire" 9
"10" 50 "Manchester City" "https://media-1.api-sports.io/football/teams/50.png" 39 "Premier League" "England" "https://media-2.api-sports.io/football/leagues/39.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 30 23 2127 NA "Attacker" "7.036666" FALSE 7 6 14 46 28 13 0 5 NA 820 42 23 23 NA 12 278 117 112 53 NA 37 19 1 0 0 NA NA 2 1 NA 645 "R. Sterling" "Raheem Shaquille" "Sterling" 29 "England" "172 cm" "69 kg" FALSE "https://media-2.api-sports.io/football/players/645.png" "1994-12-08" "Kingston" "Jamaica" 10
"11" 48 "West Ham" "https://media.api-sports.io/football/teams/48.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 36 34 2993 NA "Attacker" "7.033333" FALSE 2 12 2 56 34 12 0 10 NA 714 42 15 36 2 21 370 167 88 50 NA 43 25 6 0 0 NA NA 0 0 NA 19428 "J. Bowen" "Jarrod" "Bowen" 27 "England" "175 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19428.png" "1996-12-20" "Leominster" "England" 11
"12" 46 "Leicester" "https://media-2.api-sports.io/football/teams/46.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 35 28 2466 NA "Midfielder" "7.302857" FALSE 7 14 7 54 34 12 0 8 NA 955 49 22 40 3 11 254 140 48 31 NA 64 22 3 0 0 NA NA 0 0 NA 18784 "J. Maddison" "James Daniel" "Maddison" 27 "England" "175 cm" "73 kg" FALSE "https://media.api-sports.io/football/players/18784.png" "1996-11-23" "Coventry" "England" 12
"13" 55 "Brentford" "https://media-1.api-sports.io/football/teams/55.png" 39 "Premier League" "England" "https://media-1.api-sports.io/football/leagues/39.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 33 32 2908 NA "Attacker" "7.339393" FALSE 1 0 1 64 30 12 0 5 NA 733 43 13 33 2 14 540 284 50 24 NA 80 50 8 0 0 NA NA 5 0 NA 19974 "I. Toney" "Ivan" "Toney" 27 "England" "179 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19974.png" "1996-03-16" "Northampton" "England" 13
